Mon Day Year Open High Low Close Volume Adjclose
3 1 1977 99.82 102.7 97.8 98.42 19617300 98.42
4 1 1977 98.42 102.07 96.53 98.44 21069500 98.44
5 2 1977 98.44 100.93 95.52 96.12 21124700 96.12
6 1 1977 96.12 101.65 95.89 100.48 22934500 100.48
7 1 1977 100.48 102.57 97.71 98.85 24885700 98.85
8 1 1977 98.85 99.84 95.04 96.77 19683900 96.77
9 1 1977 96.77 98.43 94.44 96.53 19278000 96.53
10 3 1977 96.53 97.27 90.2 92.34 20501900 92.34
11 1 1977 92.19 97.11 90.01 94.83 24635700 94.83
12 1 1977 94.83 95.67 91.76 95.1 22596600 95.1
1 3 1978 95.1 95.15 88.02 89.25 21333800 89.25
2 1 1978 89.25 91.32 86.58 87.04 20439400 87.04
3 1 1978 87.04 91.35 86.45 89.21 23532200 89.21
4 3 1978 89.2 97.91 88.07 96.83 36422500 96.83
5 1 1978 96.83 100.32 94.57 97.24 36582700 97.24
6 1 1978 97.24 101.84 93.99 95.53 31108600 95.53
7 3 1978 95.53 101.18 93.59 100.68 28774000 100.68
8 1 1978 100.68 106.27 99.95 103.29 39078200 103.29
9 1 1978 103.29 108.05 100.66 102.54 34795000 102.54
10 2 1978 102.54 106.23 91.65 93.15 32957200 93.15
11 1 1978 94.13 97.41 91.77 94.7 25452800 94.7
12 1 1978 95.01 98.58 92.64 96.11 26123500 96.11
1 2 1979 96.11 102.59 95.22 99.93 29366300 99.93
2 1 1979 99.93 100.52 95.38 96.28 26357800 96.28
3 1 1979 96.28 103.31 95.98 101.59 30898600 101.59
4 2 1979 101.56 103.95 100.14 101.76 32354500 101.76
5 1 1979 101.76 102.57 97.49 99.08 29729000 99.08
6 1 1979 99.08 103.67 98.57 102.91 36685700 102.91
7 2 1979 102.91 105.17 100.35 103.81 34052300 103.81
8 1 1979 103.81 109.84 103.14 109.32 37018200 109.32
9 4 1979 109.32 111.58 105.38 109.32 39467800 109.32
10 1 1979 109.19 112.16 99.06 101.82 38509100 101.82
11 1 1979 101.82 107.89 99.42 106.16 32577600 106.16
12 3 1979 106.16 110.33 105.07 107.94 37087000 107.94
1 2 1980 107.94 117.17 103.26 114.16 55642700 114.16
2 1 1980 114.16 120.22 111.33 113.66 49767000 113.66
3 3 1980 113.66 114.34 94.23 102.09 43442300 102.09
4 1 1980 102.09 106.79 98.95 106.29 33570900 106.29
5 1 1980 106.29 112.72 103.5 111.24 38082800 111.24
6 2 1980 111.24 117.98 109.77 114.24 40931900 114.24
7 1 1980 114.24 123.93 113.54 121.67 48926300 121.67
8 1 1980 121.67 127.78 119.42 122.38 47579500 122.38
9 2 1980 122.38 132.17 121.79 125.46 52285700 125.46
10 1 1980 125.46 135.88 124.66 127.47 46604300 127.47
11 3 1980 127.47 141.96 127.23 140.52 56797200 140.52
12 1 1980 140.52 140.66 125.32 135.76 48493600 135.76
1 2 1981 135.76 140.32 128.57 129.55 47460900 129.55
2 2 1981 129.48 132.02 124.66 131.27 45764200 131.27
3 2 1981 131.27 138.38 128.56 136 55705000 136
4 1 1981 136 137.72 131.58 132.81 55782800 132.81
5 1 1981 132.81 134.92 128.78 132.59 47850500 132.59
6 1 1981 132.59 135.67 128.77 131.21 51932700 131.21
7 1 1981 131.21 131.78 125.96 130.92 45338600 130.92
8 3 1981 130.92 135.18 122.29 122.79 45757600 122.79
9 1 1981 122.79 124.58 110.19 116.18 47611400 116.18
10 1 1981 116.18 123.28 115 121.89 48051300 121.89
11 2 1981 122.35 126.97 119.13 126.35 51775000 126.35
12 1 1981 126.35 127.32 121.04 122.55 45465900 122.55
1 4 1982 122.55 123.72 113.63 120.4 52087000 120.4
2 1 1982 119.81 119.81 110.03 113.11 53475200 113.11
3 1 1982 113.11 114.8 104.46 111.96 57043000 111.96
4 1 1982 111.96 119.33 111.48 116.44 56413800 116.44
5 3 1982 115.96 119.92 111.66 111.88 53518000 111.88
6 1 1982 111.97 112.48 107.01 109.61 53445900 109.61
7 1 1982 109.52 112.39 105.57 107.09 56402800 107.09
8 2 1982 107.71 120.26 102.2 119.51 79960400 119.51
9 1 1982 119.52 126.43 117.84 120.42 76697600 120.42
10 1 1982 120.4 140.4 120.15 133.72 102066100 133.72
11 1 1982 133.72 144.36 132.89 138.53 92881400 138.53
12 1 1982 138.56 143.68 134.79 140.64 78372200 140.64
1 3 1983 140.65 148.36 138.08 145.3 91654200 145.3
2 1 1983 145.29 150.88 141.9 148.06 89431500 148.06
3 1 1983 148.07 155.02 148.07 152.96 87064700 152.96
4 4 1983 152.92 164.43 150.17 164.43 94631000 164.43
5 2 1983 164.41 166.99 160.29 162.39 96525700 162.39
6 1 1983 162.38 171.6 160.8 167.64 93189500 167.64
7 1 1983 168.11 170.72 161.5 162.56 84270500 162.56
8 1 1983 162.34 165.91 158.5 164.4 77705600 164.4
9 1 1983 164.4 170.41 163.95 166.07 86222300 166.07
10 3 1983 165.99 172.65 162.86 163.55 89241900 163.55
11 1 1983 163.55 168.07 161.63 166.4 92130400 166.4
12 1 1983 166.37 166.77 161.58 164.93 91461900 164.93
1 3 1984 164.93 169.54 162.03 163.41 110912800 163.41
2 1 1984 163.41 164 152.13 157.06 101281000 157.06
3 1 1984 157.06 160.46 153.77 159.18 87568600 159.18
4 2 1984 159.18 160.69 154.12 160.05 89513500 160.05
5 1 1984 160.05 162.11 148.68 150.55 91883600 150.55
6 1 1984 150.55 155.64 148.53 153.18 90649500 153.18
7 2 1984 153.16 153.87 147.26 150.66 83290900 150.66
8 1 1984 150.66 168.8 150.66 166.68 112364300 166.68
9 4 1984 166.68 169.65 163.06 166.1 97242600 166.1
10 1 1984 166.1 169.62 160.02 166.09 95744300 166.09
11 1 1984 166.09 170.41 162.99 163.58 87374200 163.58
12 3 1984 163.58 169.03 161.54 167.24 93063000 167.24
1 2 1985 167.2 180.27 163.36 179.63 127555000 179.63
2 1 1985 179.63 183.95 177.75 181.18 120806300 181.18
3 1 1985 181.18 183.89 176.53 180.66 107356600 180.66
4 1 1985 180.66 183.61 177.86 179.83 99699000 179.83
5 1 1985 179.83 189.98 178.35 189.55 112929000 189.55
6 3 1985 189.55 191.85 185.03 191.85 111110000 191.85
7 1 1985 191.85 196.07 189.3 190.92 117603100 190.92
8 1 1985 190.92 192.17 186.1 188.63 91128100 188.63
9 3 1985 188.63 188.8 179.45 182.08 103355700 182.08
10 1 1985 182.06 190.15 181.16 189.82 115858200 189.82
11 1 1985 189.82 203.4 189.37 202.17 126471500 202.17
12 2 1985 202.17 213.08 200.1 211.28 138908500 211.28
1 2 1986 211.28 214.57 202.6 211.78 137386800 211.78
2 3 1986 211.78 227.92 210.82 226.92 162673600 226.92
3 3 1986 226.92 240.11 222.18 238.9 167450000 238.9
4 1 1986 238.9 245.47 226.3 235.52 153995400 235.52
5 1 1986 235.52 249.19 232.26 247.35 134830400 247.35
6 2 1986 246.04 251.81 238.23 250.84 132604700 250.84
7 1 1986 250.67 253.2 233.07 236.12 142845400 236.12
8 1 1986 236.12 254.24 231.92 252.93 134628500 252.93
9 2 1986 252.93 254.13 228.08 231.32 156723800 231.32
10 1 1986 231.32 244.51 231.32 243.98 137562600 243.98
11 3 1986 243.97 249.22 235.51 249.22 159703100 249.22
12 1 1986 249.22 254.87 241.28 242.17 154548600 242.17
1 2 1987 242.17 280.96 242.17 274.08 200203800 274.08
2 2 1987 274.08 287.55 273.16 284.2 190952600 284.2
3 2 1987 284.17 302.72 282.3 291.7 188040900 291.7
4 1 1987 291.59 303.65 275.67 288.36 195942800 288.36
5 1 1987 286.99 298.69 277.01 290.1 178560000 290.1
6 1 1987 290.12 310.27 286.93 304 170931800 304
7 1 1987 303.99 318.85 302.53 318.66 188559000 318.66
8 3 1987 318.62 337.89 314.51 329.8 201342800 329.8
9 1 1987 329.81 332.18 308.56 321.83 186014200 321.83
10 1 1987 321.83 328.94 216.46 251.79 290813600 251.79
11 2 1987 251.73 257.21 225.75 230.3 192922000 230.3
12 1 1987 230.32 253.35 221.24 247.08 186222200 247.08
1 4 1988 247.1 261.78 240.17 257.07 185329000 257.07
2 1 1988 257.05 267.82 247.82 267.82 196464500 267.82
3 1 1988 267.82 272.64 256.07 258.89 182297300 258.89
4 4 1988 258.89 272.05 254.71 261.33 169819000 261.33
5 2 1988 261.36 263.7 248.85 262.16 165665700 262.16
6 1 1988 262.16 276.88 262.1 273.5 206096300 273.5
7 1 1988 273.5 276.36 262.48 272.02 176540500 272.02
8 1 1988 272.03 274.2 256.53 261.52 150345600 261.52
9 1 1988 261.52 274.87 256.98 271.91 154057100 271.91
10 3 1988 271.89 283.95 268.84 278.97 169458000 278.97
11 1 1988 278.97 280.37 262.85 273.7 141934700 273.7
12 1 1988 273.68 280.45 270.47 277.72 141529000 277.72
1 3 1989 277.72 297.51 273.81 297.47 177441400 297.47
2 1 1989 297.47 300.57 286.26 288.86 177037300 288.86
3 1 1989 288.86 299.99 286.46 294.87 167067700 294.87
4 3 1989 294.87 310.45 294.35 309.64 169782000 309.64
5 1 1989 309.64 323.06 304.06 320.52 177720400 320.52
6 1 1989 320.51 329.19 314.38 317.98 188049000 317.98
7 3 1989 317.98 346.08 317.26 346.08 170784000 346.08
8 1 1989 346.08 352.73 339 351.45 177996500 351.45
9 1 1989 351.45 354.13 341.37 349.15 159516000 349.15
10 2 1989 349.15 360.44 327.12 340.36 190398600 340.36
11 1 1989 340.36 346.5 330.91 345.99 151683800 345.99
12 1 1989 346.01 354.1 339.63 353.4 167968000 353.4
1 2 1990 353.4 360.59 319.83 329.08 181041300 329.08
2 1 1990 329.08 336.09 322.1 331.89 165598400 331.89
3 1 1990 331.89 344.49 331.08 339.94 155573600 339.94
4 2 1990 339.94 347.3 327.76 330.8 146198500 330.8
5 1 1990 330.8 362.26 330.8 361.23 171016800 361.23
6 1 1990 361.26 368.78 351.23 358.02 160561400 358.02
7 2 1990 358.02 369.78 350.09 356.15 168996100 356.15
8 1 1990 356.15 357.35 306.18 322.56 179009100 322.56
9 4 1990 322.56 326.53 295.98 306.05 152015200 306.05
10 1 1990 306.1 319.69 294.51 304 166433000 304
11 1 1990 303.99 323.02 301.61 322.22 159148500 322.22
12 3 1990 322.23 333.98 321.97 330.22 161548000 330.22
1 2 1991 330.2 343.93 309.35 343.93 175670900 343.93
2 1 1991 343.91 370.96 340.37 367.07 238220000 367.07
3 1 1991 367.07 379.66 363.73 375.22 203933500 375.22
4 1 1991 375.22 391.26 370.27 375.34 191974000 375.34
5 1 1991 375.35 389.85 365.83 389.83 180533600 389.83
6 3 1991 389.81 389.81 367.98 371.16 171125000 371.16
7 1 1991 371.18 387.81 370.92 387.81 165836300 387.81
8 1 1991 387.81 396.82 374.09 395.43 175330000 395.43
9 3 1991 395.43 397.62 382.77 387.86 170388500 387.86
10 1 1991 387.86 393.81 376.11 392.45 185306900 392.45
11 1 1991 392.46 398.22 371.63 375.22 190722500 375.22
12 2 1991 375.11 418.32 371.36 417.09 209637600 417.09
1 2 1992 417.03 421.18 408.64 408.78 249268100 408.78
2 3 1992 408.79 418.08 406.34 412.7 235259400 412.7
3 2 1992 412.68 413.78 401.94 403.69 193118100 403.69
4 1 1992 403.67 416.28 392.41 414.95 216163300 414.95
5 1 1992 414.95 418.75 409.85 415.35 192399500 415.35
6 1 1992 415.35 417.3 399.92 408.14 202516300 408.14
7 1 1992 408.2 424.8 407.2 424.21 201733600 424.21
8 3 1992 424.19 425.14 408.3 414.03 181680900 414.03
9 1 1992 414.03 425.27 412.71 417.8 200396100 417.8
10 1 1992 417.8 421.16 396.8 418.68 214042700 418.68
11 2 1992 418.66 431.93 415.58 431.35 218946000 431.35
12 1 1992 431.35 442.65 428.61 435.71 229184500 435.71
1 4 1993 435.7 442.66 426.88 438.78 276402500 438.78
2 1 1993 438.78 450.04 428.25 443.38 298768900 443.38
3 1 1993 443.38 456.76 441.07 451.67 262875600 451.67
4 1 1993 451.67 452.63 432.3 440.19 290506100 440.19
5 3 1993 440.19 454.55 436.86 450.19 265823000 450.19
6 1 1993 450.23 455.63 442.5 450.53 264796300 450.53
7 1 1993 450.54 451.15 441.4 448.13 264902300 448.13
8 2 1993 448.13 463.56 446.94 463.56 261774000 463.56
9 1 1993 463.55 463.8 449.64 458.93 277795200 458.93
10 1 1993 458.93 471.1 456.4 467.83 295763300 467.83
11 1 1993 467.83 469.11 454.36 461.79 293489000 461.79
12 1 1993 461.93 471.29 461.45 466.45 270900000 466.45
1 3 1994 466.51 482.85 464.36 481.61 330964700 481.61
2 1 1994 481.6 482.23 464.26 467.14 322199400 467.14
3 1 1994 467.19 471.09 436.16 445.77 331677800 445.77
4 4 1994 445.66 452.79 435.86 450.91 317314700 450.91
5 2 1994 450.91 457.77 440.78 456.5 280603300 456.5
6 1 1994 456.5 463.23 439.83 444.27 279367200 444.27
7 1 1994 444.27 459.33 443.58 458.26 262483000 458.26
8 1 1994 458.28 477.59 456.08 475.49 293626000 475.49
9 1 1994 475.49 475.49 458.47 462.71 306893800 462.71
10 3 1994 462.69 474.74 449.27 472.35 316548500 472.35
11 1 1994 472.26 472.26 444.18 453.69 311899500 453.69
12 1 1994 453.55 462.73 442.88 459.27 314656600 459.27
1 3 1995 459.21 471.36 457.2 470.42 345888000 470.42
2 1 1995 470.42 489.19 469.29 487.39 349858900 487.39
3 1 1995 487.39 508.15 479.7 500.71 354150400 500.71
4 3 1995 500.7 515.29 500.2 514.71 348814200 514.71
5 1 1995 514.76 533.41 513.03 533.4 359721300 533.4
6 1 1995 533.4 551.07 526 544.75 357604500 544.75
7 3 1995 544.75 565.4 542.51 562.06 379995500 562.06
8 1 1995 562.06 565.62 553.04 561.88 323806000 561.88
9 1 1995 561.88 587.61 561.01 584.41 369404000 584.41
10 2 1995 584.41 590.66 571.55 581.5 382759500 581.5
11 1 1995 581.5 608.69 581.04 605.37 382961900 605.37
12 1 1995 605.37 622.88 605.05 615.93 400939500 615.93
1 2 1996 615.93 636.18 597.29 636.02 439102700 636.02
2 1 1996 636.02 664.23 633.71 640.43 460156500 640.43
3 1 1996 640.43 656.97 627.63 645.5 447510000 645.5
4 1 1996 645.5 656.68 624.14 654.17 441379500 654.17
5 1 1996 654.17 681.1 630.07 669.12 421495000 669.12
6 3 1996 669.12 680.32 658.75 670.63 420065000 670.63
7 1 1996 670.63 675.88 605.88 639.95 420610000 639.95
8 1 1996 639.95 670.68 639.49 651.99 347213600 651.99
9 3 1996 651.99 690.88 643.97 687.33 422632000 687.33
10 1 1996 687.31 714.1 684.44 705.27 442891700 705.27
11 1 1996 705.27 762.12 701.3 757.02 438942000 757.02
12 2 1996 757.02 761.75 716.69 740.74 451853800 740.74
1 2 1997 740.74 794.67 729.55 786.16 555199000 786.16
2 3 1997 786.16 817.68 773.43 790.82 538116300 790.82
3 3 1997 790.82 814.9 756.13 757.12 533832000 757.12
4 1 1997 757.12 804.13 733.54 801.34 500497700 801.34
5 1 1997 801.34 851.87 793.21 848.28 506850000 848.28
6 2 1997 848.28 902.09 838.82 885.14 543785200 885.14
7 1 1997 885.14 957.73 884.54 954.31 568452200 954.31
8 1 1997 954.29 964.17 893.34 899.47 524762300 899.47
9 2 1997 899.47 960.59 899.47 947.28 570023800 947.28
10 1 1997 947.28 983.12 855.27 914.62 637188200 914.62
11 3 1997 914.62 964.55 900.61 955.4 545404700 955.4
12 1 1997 955.4 986.25 924.92 970.43 564825400 970.43
1 2 1998 970.43 992.65 912.83 980.28 667360500 980.28
2 2 1998 980.28 1051.66 980.28 1049.34 643738400 1049.34
3 2 1998 1049.34 1113.07 1030.87 1101.75 654296300 1101.75
4 1 1998 1101.75 1132.98 1076.7 1111.75 683412300 1111.75
5 1 1998 1111.75 1130.52 1074.39 1090.82 601696000 1090.82
6 1 1998 1090.82 1145.15 1074.67 1133.84 650416800 1133.84
7 1 1998 1133.84 1190.58 1114.3 1120.67 674577700 1120.67
8 3 1998 1120.67 1121.79 957.28 957.28 761383300 957.28
9 1 1998 957.28 1066.11 939.98 1017.01 834008500 1017.01
10 1 1998 1017.01 1103.78 923.32 1098.67 853938600 1098.67
11 2 1998 1098.67 1192.97 1098.67 1163.63 706959000 1163.63
12 1 1998 1163.63 1244.93 1136.89 1229.23 722756800 1229.23
1 4 1999 1229.23 1280.37 1205.46 1279.64 901605200 1279.64
2 1 1999 1279.64 1283.84 1211.89 1238.33 807392600 1238.33
3 1 1999 1238.33 1323.82 1216.03 1286.37 822904300 1286.37
4 1 1999 1286.37 1371.56 1282.56 1335.18 926652300 1335.18
5 3 1999 1335.18 1375.98 1277.31 1301.84 826511000 1301.84
6 1 1999 1301.84 1372.93 1277.47 1372.71 781644000 1372.71
7 1 1999 1372.71 1420.33 1328.49 1328.72 765225200 1328.72
8 2 1999 1328.72 1382.84 1267.73 1320.41 758193100 1320.41
9 1 1999 1320.41 1361.39 1256.26 1282.71 831252300 1282.71
10 1 1999 1282.71 1373.17 1233.7 1362.93 950119000 1362.93
11 1 1999 1362.93 1425.31 1346.41 1388.91 920777100 1388.91
12 1 1999 1388.91 1473.1 1387.38 1469.25 909760900 1469.25
1 3 2000 1469.25 1478 1350.14 1394.46 1124410000 1394.46
2 1 2000 1394.46 1444.55 1325.07 1366.42 1105815000 1366.42
3 1 2000 1366.42 1552.87 1346.62 1498.58 1190591300 1498.58
4 3 2000 1498.58 1527.19 1339.4 1452.43 1110055700 1452.43
5 1 2000 1452.43 1481.51 1361.09 1420.6 948127200 1420.6
6 1 2000 1420.6 1488.93 1420.6 1454.6 1054454500 1454.6
7 3 2000 1454.6 1517.32 1413.89 1430.83 1002085000 1430.83
8 1 2000 1430.83 1525.21 1425.43 1517.68 931317300 1517.68
9 1 2000 1517.68 1530.09 1419.44 1436.51 1101770000 1436.51
10 2 2000 1436.52 1454.82 1305.79 1429.4 1241718100 1429.4
11 1 2000 1429.4 1438.46 1294.9 1314.95 1034230000 1314.95
12 1 2000 1314.95 1389.05 1254.07 1320.28 1232315000 1320.28
1 2 2001 1320.28 1383.37 1274.62 1366.01 1386909500 1366.01
2 1 2001 1366.01 1376.38 1215.44 1239.94 1203668400 1239.94
3 1 2001 1239.94 1267.42 1081.19 1160.33 1322155000 1160.33
4 2 2001 1160.33 1269.3 1091.99 1249.46 1333839500 1249.46
5 1 2001 1249.46 1315.93 1232 1255.82 1170568100 1255.82
6 1 2001 1255.82 1286.62 1203.03 1224.38 1265732800 1224.38
7 2 2001 1224.42 1239.78 1165.54 1211.23 1186805200 1211.23
8 1 2001 1211.23 1226.27 1124.87 1133.58 1055621700 1133.58
9 4 2001 1133.58 1155.4 944.75 1040.94 1777119300 1040.94
10 1 2001 1040.94 1110.61 1026.76 1059.78 1361033900 1059.78
11 1 2001 1059.78 1163.38 1054.31 1139.45 1317790400 1139.45
12 3 2001 1139.45 1173.62 1114.53 1148.08 1303608500 1148.08
1 2 2002 1148.08 1176.97 1081.66 1130.2 1490628500 1130.2
2 1 2002 1130.2 1130.2 1074.36 1106.73 1444200000 1106.73
3 1 2002 1106.73 1173.94 1106.73 1147.39 1385540000 1147.39
4 1 2002 1147.39 1147.84 1063.46 1076.92 1372613600 1076.92
5 1 2002 1076.92 1106.59 1048.96 1067.14 1281036300 1067.14
6 3 2002 1067.14 1070.74 952.92 989.82 1604925500 989.82
7 1 2002 989.82 994.46 775.68 911.62 2012640000 911.62
8 1 2002 911.62 965 833.44 916.07 1374013600 916.07
9 3 2002 916.07 924.02 800.2 815.28 1472279000 815.28
10 1 2002 815.28 907.44 768.63 885.76 1717287300 885.76
11 1 2002 885.76 941.82 872.05 936.31 1492221000 936.31
12 2 2002 936.31 954.28 869.45 879.82 1289625700 879.82
1 2 2003 879.82 935.05 840.34 855.7 1539433800 855.7
2 3 2003 855.7 864.64 806.29 841.15 1400452600 841.15
3 3 2003 841.15 895.9 788.9 848.18 1503596600 848.18
4 1 2003 848.18 924.24 847.85 916.92 1498005700 916.92
5 1 2003 916.92 965.38 902.83 963.59 1554328500 963.59
6 2 2003 963.59 1015.33 963.59 974.5 1562219000 974.5
7 1 2003 974.5 1015.41 962.1 990.31 1507327200 990.31
8 1 2003 990.31 1011.01 960.84 1008.01 1229836600 1008.01
9 2 2003 1008.01 1040.29 990.36 995.97 1501457600 995.97
