year mon dd rate w1m1 w2m1 w3m1 w4m1 icm1
1980 9 1 7.5 569 533 525 512 2641
1980 10 1 7.5 511 492 465 463 1931
1980 11 1 7.5 462 447 425 418 1752
1980 12 1 7.2 419 407 427 398 2063
1981 1 1 7.5 416 413 412 399 1640
1981 2 1 7.4 410 419 421 396 2065
1981 3 1 7.4 420 423 438 434 1715
1981 4 1 7.2 409 408 401 412 1630
1981 5 1 7.5 417 396 392 436 1641
1981 6 1 7.5 413 423 414 415 2082
1981 7 1 7.2 428 425 435 444 1732
1981 8 1 7.4 460 426 430 407 1723
1981 9 1 7.6 476 448 442 434 2251
1981 10 1 7.9 473 454 475 491 1893
1981 11 1 8.3 489 491 487 483 2464
1981 12 1 8.5 514 517 464 552 2047
1982 1 1 8.6 558 551 539 556 2204
1982 2 1 8.9 495 545 489 564 2676
1982 3 1 9 556 507 544 528 2135
1982 4 1 9.3 556 539 557 574 2226
1982 5 1 9.4 578 585 597 588 2348
1982 6 1 9.6 576 584 585 586 2919
1982 7 1 9.8 611 614 591 582 2398
1982 8 1 9.8 600 572 567 536 2880
1982 9 1 10.1 606 637 628 647 2518
1982 10 1 10.4 651 641 680 671 2643
1982 11 1 10.8 695 651 656 623 3262
1982 12 1 10.8 589 599 577 612 2377
1983 1 1 10.4 557 533 516 489 2095
1983 2 1 10.4 534 510 479 479 2505
1983 3 1 10.3 501 486 487 481 1955
1983 4 1 10.2 495 475 470 481 1921
1983 5 1 10.1 491 496 515 488 2480
1983 6 1 10.1 494 464 460 454 1872
1983 7 1 9.4 459 442 434 442 1777
1983 8 1 9.5 422 412 396 395 2040
1983 9 1 9.2 415 457 445 426 1743
1983 10 1 8.8 411 403 405 416 1635
1983 11 1 8.5 413 406 394 394 2011
1983 12 1 8.3 395 390 387 398 1570
1984 1 1 8 365 368 362 377 1844
1984 2 1 7.8 356 351 333 364 1404
1984 3 1 7.8 342 338 334 343 1357
1984 4 1 7.7 347 346 349 346 1729
1984 5 1 7.4 381 357 364 375 1477
1984 6 1 7.2 365 368 354 354 1441
1984 7 1 7.5 355 369 361 362 1807
1984 8 1 7.5 366 360 357 359 1442
1984 9 1 7.3 382 380 401 395 1558
1984 10 1 7.4 385 402 393 395 1977
1984 11 1 7.2 403 410 439 425 1677
1984 12 1 7.3 423 393 383 429 1628
1985 1 1 7.3 401 383 386 379 1928
1985 2 1 7.2 369 387 359 368 1483
1985 3 1 7.2 386 401 390 390 1567
1985 4 1 7.3 374 385 386 373 1904
1985 5 1 7.2 405 411 391 386 1593
1985 6 1 7.4 390 394 391 396 1571
1985 7 1 7.4 393 403 390 386 1962
1985 8 1 7.1 395 386 370 362 1513
1985 9 1 7.1 407 402 399 405 2022
1985 10 1 7.1 426 408 401 399 1634
1985 11 1 7 405 400 400 418 1623
1985 12 1 7 398 397 397 382 1967
1986 1 1 6.7 399 382 370 390 1541
1986 2 1 7.2 362 397 364 344 1467
1986 3 1 7.2 364 366 358 390 1478
1986 4 1 7.1 375 366 382 387 1906
1986 5 1 7.2 381 388 383 391 1543
1986 6 1 7.2 392 395 384 386 1930
1986 7 1 7 375 369 367 371 1482
1986 8 1 6.9 371 361 354 362 1448
1986 9 1 7 416 416 407 397 2037
1986 10 1 7 400 394 399 389 1582
1986 11 1 6.9 391 387 385 370 1533
1986 12 1 6.6 364 349 368 369 1816
1987 1 1 6.6 363 375 350 345 1433
1987 2 1 6.6 323 348 341 346 1728
1987 3 1 6.6 368 338 341 348 1395
1987 4 1 6.3 337 335 335 326 1333
1987 5 1 6.3 330 338 349 328 1345
1987 6 1 6.2 330 315 341 343 1655
1987 7 1 6.1 328 316 319 326 1289
1987 8 1 6 326 317 310 324 1277
1987 9 1 5.9 348 327 319 312 1628
1987 10 1 6 316 297 309 317 1239
1987 11 1 5.8 301 308 301 301 1500
1987 12 1 5.7 297 307 317 306 1227
1988 1 1 5.7 319 317 323 316 1275
1988 2 1 5.7 315 325 361 335 1678
1988 3 1 5.7 318 311 327 319 1275
1988 4 1 5.4 307 304 307 304 1222
1988 5 1 5.6 309 313 314 312 1561
1988 6 1 5.4 309 314 319 313 1255
1988 7 1 5.4 310 305 311 307 1233
1988 8 1 5.6 305 303 315 354 1608
1988 9 1 5.4 316 312 316 315 1259
1988 10 1 5.4 306 305 306 301 1218
1988 11 1 5.3 292 292 293 286 1457
1988 12 1 5.3 285 284 294 299 1162
1989 1 1 5.4 298 285 293 286 1466
1989 2 1 5.2 299 283 282 295 1159
1989 3 1 5 288 322 305 300 1215
1989 4 1 5.2 325 325 319 319 1288
1989 5 1 5.2 323 314 307 304 1559
1989 6 1 5.3 320 332 321 325 1298
1989 7 1 5.2 325 332 337 338 1332
1989 8 1 5.2 349 341 349 332 1708
1989 9 1 5.3 338 341 327 332 1338
1989 10 1 5.3 329 336 334 334 1680
1989 11 1 5.4 407 345 347 354 1453
1989 12 1 5.4 333 336 336 342 1347
1990 1 1 5.4 344 338 355 381 1776
1990 2 1 5.3 355 369 375 345 1444
1990 3 1 5.2 368 367 348 350 1433
1990 4 1 5.4 351 349 349 331 1726
1990 5 1 5.4 367 357 360 363 1447
1990 6 1 5.2 354 355 353 359 1421
1990 7 1 5.5 368 359 359 362 1812
1990 8 1 5.7 362 367 370 369 1468
1990 9 1 5.9 369 381 393 394 1537
1990 10 1 5.9 392 390 395 389 1970
1990 11 1 6.2 404 422 435 440 1701
1990 12 1 6.3 430 448 447 462 1787
1991 1 1 6.4 451 449 447 474 2275
1991 2 1 6.6 415 437 445 462 1759
1991 3 1 6.8 483 480 474 499 1936
1991 4 1 6.7 488 499 498 509 2493
1991 5 1 6.9 452 477 478 462 1869
1991 6 1 6.9 451 446 448 443 1788
1991 7 1 6.8 432 441 429 423 2143
1991 8 1 6.9 422 420 408 423 1673
1991 9 1 6.9 438 437 433 425 2158
1991 10 1 7 424 418 419 437 1698
1991 11 1 7 424 425 419 423 1691
1991 12 1 7.3 447 453 439 444 2227
1992 1 1 7.3 475 475 436 441 1827
1992 2 1 7.4 432 440 443 441 1756
1992 3 1 7.4 440 445 446 436 2211
1992 4 1 7.4 421 437 440 420 1718
1992 5 1 7.6 412 413 424 424 1673
1992 6 1 7.8 431 417 414 414 2087
1992 7 1 7.7 416 420 419 420 1675
1992 8 1 7.6 407 408 392 564 1771
1992 9 1 7.6 423 406 401 398 2036
1992 10 1 7.3 416 416 427 409 1668
1992 11 1 7.4 398 374 385 367 1889
1992 12 1 7.4 374 377 357 341 1449
1993 1 1 7.3 350 359 334 313 1356
1993 2 1 7.1 341 354 352 341 1728
1993 3 1 7 319 321 351 362 1353
1993 4 1 7.1 354 346 338 366 1404
1993 5 1 7.1 365 353 351 350 1419
1993 6 1 7 343 339 345 342 1718
1993 7 1 6.9 343 343 345 340 1371
1993 8 1 6.8 334 314 335 415 1754
1993 9 1 6.7 346 339 342 337 1364
1993 10 1 6.8 334 333 346 343 1356
1993 11 1 6.6 333 355 359 354 1749
1993 12 1 6.5 350 341 336 337 1364
1994 1 1 6.6 337 334 331 290 1292
1994 2 1 6.6 341 343 355 351 1796
1994 3 1 6.5 361 354 352 327 1394
1994 4 1 6.4 348 341 332 322 1343
1994 5 1 6.1 342 349 354 331 1720
1994 6 1 6.1 371 360 357 348 1436
1994 7 1 6.1 345 338 336 341 1360
1994 8 1 6 334 341 359 345 1711
1994 9 1 5.9 338 335 331 341 1345
1994 10 1 5.8 339 331 326 325 1321
1994 11 1 5.6 330 341 335 330 1667
1994 12 1 5.5 328 329 326 329 1312
1995 1 1 5.6 324 329 330 314 1616
1995 2 1 5.4 338 347 325 324 1334
1995 3 1 5.4 324 348 343 336 1351
1995 4 1 5.8 339 347 343 332 1361
1995 5 1 5.6 335 347 355 349 1751
1995 6 1 5.6 364 366 377 374 1481
1995 7 1 5.7 362 367 378 358 1465
1995 8 1 5.7 355 372 389 390 1857
1995 9 1 5.6 351 353 362 359 1425
1995 10 1 5.5 355 371 376 353 1810
1995 11 1 5.6 374 369 366 377 1486
1995 12 1 5.6 380 370 379 379 1508
1996 1 1 5.6 373 346 373 374 1825
1996 2 1 5.5 361 333 415 387 1496
1996 3 1 5.5 374 387 383 365 1509
1996 4 1 5.6 368 361 384 426 1932
1996 5 1 5.6 369 357 368 343 1437
1996 6 1 5.3 338 352 345 343 1378
1996 7 1 5.5 340 351 342 341 1711
1996 8 1 5.1 342 347 332 327 1348
1996 9 1 5.2 326 331 336 337 1659
1996 10 1 5.2 333 338 352 348 1371
1996 11 1 5.4 335 334 335 352 1356
1996 12 1 5.4 334 327 342 347 1682
1997 1 1 5.3 355 352 350 357 1414
1997 2 1 5.2 347 324 345 340 1356
1997 3 1 5.2 333 315 313 322 1283
1997 4 1 5.1 321 317 319 315 1597
1997 5 1 4.9 325 330 316 337 1308
1997 6 1 5 342 318 322 316 1619
1997 7 1 4.9 329 335 316 322 1302
1997 8 1 4.8 346 328 301 306 1281
1997 9 1 4.9 320 329 343 327 1651
1997 10 1 4.7 313 314 317 317 1261
1997 11 1 4.6 311 305 318 306 1240
1997 12 1 4.7 313 308 325 309 1573
1998 1 1 4.6 317 323 310 303 1253
1998 2 1 4.6 312 331 341 307 1606
1998 3 1 4.7 311 321 327 317 1276
1998 4 1 4.3 308 319 321 312 1260
1998 5 1 4.4 312 304 317 311 1244
1998 6 1 4.5 304 306 315 309 1556
1998 7 1 4.5 306 321 349 376 1352
1998 8 1 4.5 362 320 315 335 1332
1998 9 1 4.6 327 316 308 302 1563
1998 10 1 4.5 313 304 305 294 1216
1998 11 1 4.4 302 316 318 309 1553
1998 12 1 4.4 316 334 304 310 1264
1999 1 1 4.3 326 305 297 336 1264
1999 2 1 4.4 331 345 339 311 1631
1999 3 1 4.2 291 312 302 301 1206
1999 4 1 4.3 300 308 305 298 1211
1999 5 1 4.2 310 319 314 291 1234
1999 6 1 4.3 296 310 301 298 1508
1999 7 1 4.3 303 290 292 291 1176
1999 8 1 4.2 287 288 309 306 1490
1999 9 1 4.2 295 292 286 290 1163
1999 10 1 4.1 290 281 281 306 1158
1999 11 1 4.1 309 291 287 280 1452
1999 12 1 4 282 281 276 288 1127
2000 1 1 4 287 272 287 268 1114
2000 2 1 4.1 286 298 289 284 1442
2000 3 1 4 312 300 283 280 1175
2000 4 1 3.8 286 270 271 272 1099
2000 5 1 4 266 268 259 274 1358
2000 6 1 4 293 276 280 280 1129
2000 7 1 4 290 284 294 296 1164
2000 8 1 4.1 281 293 303 300 1475
2000 9 1 3.9 306 315 318 312 1251
2000 10 1 3.9 301 309 311 288 1501
2000 11 1 3.9 309 299 295 301 1204
2000 12 1 3.9 331 318 332 356 1337
2001 1 1 4.2 338 321 354 364 1730
2001 2 1 4.2 337 318 343 362 1360
2001 3 1 4.3 376 365 358 386 1485
2001 4 1 4.4 384 393 393 378 1936
2001 5 1 4.3 398 383 400 406 1587
2001 6 1 4.5 381 390 402 405 1578
2001 7 1 4.6 406 411 394 381 1986
2001 8 1 4.9 401 405 398 388 1592
2001 9 1 5 401 394 402 395 1592
2001 10 1 5.3 402 408 395 453 2175
2001 11 1 5.5 476 482 482 483 1923
2001 12 1 5.7 440 428 431 491 1790
2002 1 1 5.7 465 393 389 416 2084
2002 2 1 5.7 397 418 405 414 1634
2002 3 1 5.7 404 397 397 398 1596
2002 4 1 5.9 392 399 392 415 2077
2002 5 1 5.8 445 442 416 414 1717
2002 6 1 5.8 409 413 411 403 1636
2002 7 1 5.8 378 388 396 388 1936
2002 8 1 5.7 391 384 379 390 1544
2002 9 1 5.7 388 389 399 398 1968
2002 10 1 5.7 416 412 401 409 1638
2002 11 1 5.9 404 405 412 409 1630
2002 12 1 6 405 400 389 390 1961
2003 1 1 5.8 425 429 394 409 1657
2003 2 1 5.9 393 378 402 407 1580
2003 3 1 5.9 413 390 420 421 1644
2003 4 1 6 436 424 430 411 2137
2003 5 1 6.1 417 434 450 444 1745
2003 6 1 6.3 428 417 425 419 2120
2003 7 1 6.2 429 421 408 429 1687
2003 8 1 6.1 433 412 403 398 1646
2003 9 1 6.1 401 404 398 391 2001
2003 10 1 6 422 394 379 387 1582
2003 11 1 5.8 386 376 387 379 1528
2003 12 1 5.7 363 371 370 354 1815
2004 1 1 5.7 367 363 354 349 1433
2004 2 1 5.6 356 354 362 353 1801
2004 3 1 5.8 380 356 359 348 1443
2004 4 1 5.6 344 338 346 340 1368
2004 5 1 5.6 335 355 364 339 1393
2004 6 1 5.6 324 329 349 342 1681
2004 7 1 5.5 355 339 354 348 1396
2004 8 1 5.4 326 345 355 348 1715
2004 9 1 5.4 336 332 343 352 1363
2004 10 1 5.5 326 331 341 351 1349
2004 11 1 5.4 335 338 327 338 1670
2004 12 1 5.4 330 337 313 335 1315
2005 1 1 5.3 343 316 322 320 1301
2005 2 1 5.4 356 369 332 329 1717
2005 3 1 5.2 307 308 318 314 1247
2005 4 1 5.2 333 324 329 342 1328
2005 5 1 5.1 335 323 307 317 1616
2005 6 1 5 327 321 320 340 1308
2005 7 1 5 338 333 321 311 1303
2005 8 1 4.9 327 338 323 318 1622
2005 9 1 5 311 319 315 318 1263
2005 10 1 5 326 422 424 359 1531
2005 11 1 5 384 383 348 324 1761
2005 12 1 4.9 325 309 324 311 1269
2006 1 1 4.7 321 327 312 320 1582
2006 2 1 4.8 327 284 292 282 1185
2006 3 1 4.7 288 297 284 292 1161
2006 4 1 4.7 301 306 301 293 1201
2006 5 1 4.6 290 300 298 307 1515
2006 6 1 4.6 346 334 320 329 1329
2006 7 1 4.7 307 299 308 310 1224
2006 8 1 4.7 316 342 319 306 1595
2006 9 1 4.5 320 313 317 315 1265
2006 10 1 4.4 316 315 324 320 1584
2006 11 1 4.5 318 306 314 329 1267
2006 12 1 4.4 320 312 325 349 1306
2007 1 1 4.6 327 311 318 322 1617
2007 2 1 4.5 331 296 338 310 1275
2007 3 1 4.4 308 334 321 317 1280
2007 4 1 4.5 318 305 305 299 1530
2007 5 1 4.4 332 326 320 302 1280
2007 6 1 4.6 301 296 312 310 1219
2007 7 1 4.6 314 314 322 315 1584
2007 8 1 4.6 320 318 311 306 1255
2007 9 1 4.7 316 320 325 332 1293
2007 10 1 4.7 316 323 317 304 1577
2007 11 1 4.7 319 338 336 329 1322
2007 12 1 5 329 332 332 351 1344
2008 1 1 5 346 331 348 352 1729
2008 2 1 4.8 352 317 321 369 1359
2008 3 1 5.1 349 335 341 348 1373
2008 4 1 5 341 343 363 362 1788
2008 5 1 5.4 354 365 349 372 1440
2008 6 1 5.5 372 365 370 371 1843
2008 7 1 5.8 385 383 386 398 1552
2008 8 1 6.1 371 385 405 434 1595
2008 9 1 6.2 452 437 433 428 2197
2008 10 1 6.6 446 457 488 484 1875
2008 11 1 6.9 484 469 481 482 1916
2008 12 1 7.4 494 510 542 532 2613
2009 1 1 7.7 561 560 581 514 2216
2009 2 1 8.2 509 547 581 593 2863
2009 3 1 8.6 614 635 640 639 2528
2009 4 1 8.9 642 636 642 651 2571
2009 5 1 9.4 643 609 633 623 2508
2009 6 1 9.5 604 625 625 611 3081
2009 7 1 9.4 597 604 613 604 2418
2009 8 1 9.7 571 538 564 578 2251
2009 9 1 9.8 559 557 575 567 2826
2009 10 1 10.1 556 547 538 546 2187
2009 11 1 10 531 521 535 528 2637
2009 12 1 10 507 509 477 475 1968
2010 1 1 9.7 483 490 469 454 1896
2010 2 1 9.7 456 470 489 476 2381
2010 3 1 9.7 439 479 486 466 1870
2010 4 1 9.9 451 454 445 442 1792
2010 5 1 9.7 463 480 459 451 1853
2010 6 1 9.5 446 446 474 463 2288
2010 7 1 9.5 459 476 459 475 1869
2010 8 1 9.6 458 427 468 460 2295
2010 9 1 9.6 488 504 478 478 1948
