date           intc          sp
19871231       0.232558      0.072861
19880129      -0.037736      0.040432
19880229       0.107843      0.041817
19880331       0.039823     -0.033343
19880429       0.055319      0.009425
19880531      -0.008065      0.003176
19880630       0.174797      0.043256
19880729      -0.038062     -0.005411
19880831      -0.194245     -0.038600
19880930      -0.017857      0.039729
19881031      -0.100000      0.025964
19881130      -0.181818     -0.018891
19881230       0.172840      0.014688
19890131       0.094737      0.071115
19890228      -0.009615     -0.028944
19890331       0.019417      0.020806
19890428       0.104762      0.050090
19890531       0.120690      0.035138
19890630      -0.107692     -0.007925
19890731       0.051724      0.088370
19890831      -0.016393      0.015517
19890929       0.075000     -0.006544
19891031       0.046512     -0.025175
19891130       0.029630      0.016541
19891229      -0.007194      0.021417
19900131       0.144928     -0.068817
19900228       0.018987      0.008539
19900330       0.037267      0.024255
19900430      -0.053892     -0.026887
19900531       0.221519      0.091989
19900629      -0.025907     -0.008886
19900731      -0.053191     -0.005223
19900831      -0.250000     -0.094314
19900928      -0.003745     -0.051184
19901031       0.007519     -0.006698
19901130       0.119403      0.059934
19901231       0.026667      0.024828
19910131       0.188312      0.041518
19910228       0.043716      0.067281
19910328      -0.020942      0.022203
19910430       0.053476      0.000346
19910531       0.131980      0.038577
19910628      -0.165919     -0.047893
19910731       0.010753      0.044859
19910830       0.053191      0.019649
19910930      -0.146465     -0.019144
19911031      -0.038462      0.011860
19911129       0.009231     -0.043928
19911231       0.195122      0.111588
19920131       0.221939     -0.019900
19920228       0.060543      0.009565
19920331      -0.129921     -0.021832
19920430      -0.031674      0.027893
19920529      -0.065421      0.000964
19920630       0.140000     -0.017359
19920731       0.048246      0.039374
19920831      -0.029289     -0.023998
19920930       0.133621      0.009106
19921030       0.028137      0.002106
19921130       0.059259      0.030262
19921231       0.216783      0.010108
19930129       0.228161      0.007046
19930226       0.091335      0.010484
19930331      -0.012876      0.018697
19930430      -0.171957     -0.025417
19930528       0.165572      0.022717
19930630      -0.007892      0.000755
19930730      -0.049091     -0.005327
19930831       0.229665      0.034432
19930930       0.101167     -0.009988
19931029      -0.105300      0.019393
19931130      -0.027668     -0.012911
19931231       0.008130      0.010091
19940131       0.053226      0.032501
19940228       0.053640     -0.030045
19940331      -0.018182     -0.045746
19940429      -0.095556      0.011531
19940531       0.024590      0.012419
19940630      -0.064000     -0.026812
19940729       0.013932      0.031467
19940831       0.109705      0.037643
19940930      -0.064639     -0.026898
19941031       0.011138      0.020834
19941130       0.016097     -0.039505
19941230       0.011881      0.012299
19950131       0.087045      0.024278
19950228       0.149550      0.036074
19950331       0.064263      0.027329
19950428       0.206892      0.027960
19950531       0.096459      0.036312
19950630       0.128062      0.021279
19950731       0.027285      0.031776
19950831      -0.055769     -0.000320
19950929      -0.018330      0.040098
19951031       0.160415     -0.004979
19951130      -0.128801      0.041049
19951229      -0.067762      0.017444
19960131      -0.026002      0.032617
19960229       0.064781      0.006934
19960329      -0.032944      0.007917
19960430       0.191912      0.013431
19960531       0.114391      0.022853
19960628      -0.027318      0.002257
19960731       0.023660     -0.045748
19960830       0.062396      0.018814
19960930       0.195771      0.054173
19961031       0.151801      0.026131
19961129       0.154721      0.073376
19961231       0.032020     -0.021505
19970131       0.239523      0.061317
19970228      -0.125578      0.005928
19970331      -0.019383     -0.042614
19970430       0.100988      0.058406
19970530      -0.010612      0.058577
19970630      -0.063944      0.043453
19970731       0.295267      0.078123
19970829       0.003404     -0.057446
19970930       0.002035      0.053154
19971031      -0.165552     -0.034478
19971128       0.008117      0.044587
19971231      -0.095008      0.015732
19980130       0.153452      0.010150
19980227       0.107253      0.070449
19980331      -0.129617      0.049946
19980430       0.035612      0.009076
19980529      -0.116009     -0.018826
19980630       0.037620      0.039438
19980731       0.139123     -0.011615
19980831      -0.156566     -0.145797
19980930       0.204565      0.062396
19981030       0.040087      0.080294
19981130       0.207176      0.059126
19981231       0.101626      0.056375
19990129       0.188719      0.041009
19990226      -0.148718     -0.032283
19990331      -0.008859      0.038794
19990430       0.029443      0.037944
19990528      -0.115955     -0.024970
19990630       0.100578      0.054438
19990730       0.159664     -0.032046
19990831       0.191558     -0.006254
19990930      -0.095817     -0.028552
19991029       0.042052      0.062539
19991130      -0.009298      0.019062
19991231       0.073350      0.057844
20000131       0.201974     -0.050904
20000229       0.142438     -0.020108
20000331       0.167589      0.096720
20000428      -0.038844     -0.030796
20000531      -0.016520     -0.021915
20000630       0.072180      0.023934
20000731      -0.001403     -0.016341
20000831       0.121948      0.060699
20000929      -0.444908     -0.053483
20001031       0.082707     -0.004949
20001130      -0.153722     -0.080069
20001229      -0.210181      0.004053
20010131       0.230769      0.034637
20010228      -0.227500     -0.092291
20010330      -0.078775     -0.064205
20010430       0.174727      0.076814
20010531      -0.125526      0.005090
20010629       0.082932     -0.025004
20010731       0.019145     -0.010772
20010831      -0.061389     -0.064108
20010928      -0.268956     -0.081723
20011031       0.194716      0.018099
20011130       0.338247      0.075176
20011231      -0.037048      0.007574
20020131       0.114149     -0.015574
20020228      -0.184646     -0.020766
20020328       0.065149      0.036739
20020430      -0.059191     -0.061418
20020531      -0.033904     -0.009081
20020628      -0.338523     -0.072465
20020731       0.028462     -0.078995
20020830      -0.111762      0.004881
20020930      -0.166767     -0.110013
20021031       0.245500      0.086436
20021129       0.208092      0.057070
20021231      -0.254310     -0.060333
20030131       0.008349     -0.027415
20030228       0.100637     -0.017004
20030331      -0.056779      0.008358
20030430       0.128378      0.081044
20030530       0.134458      0.050899
20030630      -0.000480      0.011322
20030731       0.196060      0.016224
20030829       0.149458      0.017873
20030930      -0.037426     -0.011944
20031031       0.197311      0.054962
20031128       0.018513      0.007129
20031231      -0.044425      0.050765
20040130      -0.047738      0.017276
20040227      -0.041940      0.012209
20040331      -0.068493     -0.016359
20040430      -0.054044     -0.016791
20040528       0.111154      0.012083
20040630      -0.033275      0.017989
20040730      -0.116667     -0.034291
20040831      -0.125102      0.002287
20040930      -0.057774      0.009364
20041029       0.109671      0.014014
20041130       0.007188      0.038595
20041231       0.045130      0.032458
20050131      -0.040188     -0.025290
20050228       0.072160      0.018903
20050331      -0.031680     -0.019118
20050429       0.012484     -0.020109
20050531       0.149660      0.029952
20050630      -0.034866     -0.000143
20050729       0.043044      0.035968
20050831      -0.049374     -0.011222
20050930      -0.041602      0.006949
20051031      -0.046653     -0.017741
20051130       0.138723      0.035186
20051230      -0.064468     -0.000952
20060131      -0.148438      0.025467
20060228      -0.026111      0.000453
20060331      -0.055340      0.011065
20060428       0.026722      0.012187
20060531      -0.093093     -0.030917
20060630       0.054384      0.000087
20060731      -0.052632      0.005086
20060831       0.092778      0.021274
20060929       0.051099      0.024566
20061031       0.037433      0.031508
20061130       0.007263      0.016467
20061229      -0.053517      0.012616
20070131       0.035062      0.014059
20070228      -0.047113     -0.021846
20070330      -0.036757      0.009980
20070430       0.123889      0.043291
20070531       0.036856      0.032549
20070629       0.070334     -0.017816
20070731      -0.005051     -0.031982
20070831       0.094941      0.012864
20070928       0.004272      0.035794
20071031       0.040217      0.014822
20071130      -0.026301     -0.044043
20071231       0.022239     -0.008628
20080131      -0.208552     -0.061163
20080229      -0.047517     -0.034761
20080331       0.060596     -0.005960
20080430       0.050991      0.047547
20080530       0.047619      0.010674
20080630      -0.073339     -0.085962
20080731       0.033054     -0.009859
20080829       0.036954      0.012191
20080930      -0.181023     -0.090791
20081031      -0.144100     -0.169425
20081128      -0.130435     -0.074849
20081231       0.062319      0.007822
20090130      -0.120055     -0.085657
20090227      -0.001550     -0.109931
20090331       0.179749      0.085405
20090430       0.049900      0.093925
20090529       0.005070      0.053081
20090630       0.052799      0.000196
20090731       0.163142      0.074142
20090831       0.062857      0.033560
20090930      -0.036909      0.035723
20091030      -0.023505     -0.019762
20091130       0.012036      0.057364
20091231       0.062500      0.017771
